date	close
15-Aug-17	73
17-Aug-17	129
19-Aug-17	146
21-Aug-17	60
22-Aug-17	30
26-Aug-17	952
27-Aug-17	361
28-Aug-17	81
29-Aug-17	84
30-Aug-17	50
01-Sep-17	82
02-Sep-17	21
03-Sep-17	64
04-Sep-17	187
05-Sep-17	61
06-Sep-17	156
07-Sep-17	51
08-Sep-17	144
09-Sep-17	70
10-Sep-17	155
11-Sep-17	86
12-Sep-17	106
13-Sep-17	178
14-Sep-17	52
15-Sep-17	90
16-Sep-17	179
17-Sep-17	88
18-Sep-17	36
19-Sep-17	38
20-Sep-17	76
21-Sep-17	98
22-Sep-17	90
30-Sep-17	180
20-Dec-17	40
